"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Krishnan N.F.M.; Jaafar J.","Krishnan, Nor Farisha Muhamad (59513029100); Jaafar, Jafreezal (16642666200)","59513029100; 16642666200","Exploring Research Trends in Distributed Acoustic Sensing with Machine Learning and Deep Learning: A Bibliometric Analysis of Themes and Emerging Topics","2025","International Journal of Advanced Computer Science and Applications","16","5","","173","181","8","0","10.14569/IJACSA.2025.0160518","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-105008413580&doi=10.14569%2fIJACSA.2025.0160518&partnerID=40&md5=7b284c6dc2604231bfc76ba252646735","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105008413580"
"Saleh S.M.; Mohammed I.; Madhavji N.; Steinbacher J.","Saleh, Sabbir M. (59464813200); Mohammed, Ibrahim (59012443700); Madhavji, Nazim (7003332933); Steinbacher, John (57200276711)","59464813200; 59012443700; 7003332933; 57200276711","Advancing Software Security and Reliability in Cloud Platforms through AI-based Anomaly Detection","2024","CCSW 2024 - Proceedings of the 2024 Cloud Computing Security Workshop, Co-Located with: CCS 2024","","","","43","52","9","0","10.1145/3689938.3694779","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-85214081276&doi=10.1145%2f3689938.3694779&partnerID=40&md5=eefdce7ce8791f868bdfa2e05e1a3722","Conference paper","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85214081276"
"Xu Z.; Guan B.; Wei L.; Chen S.; Li M.; Jiang X.","Xu, Zhe (57224586106); Guan, Bing (55569413300); Wei, Lixin (15754799600); Chen, Shuangqing (57142737900); Li, Minghao (57849508700); Jiang, Xiaoyu (58764722300)","57224586106; 55569413300; 15754799600; 57142737900; 57849508700; 58764722300","Investigation of Hydrogen-Blended Natural Gas Pipelines in Utility Tunnel Leakage and Development of an Accident Ventilation Strategy for the Worst Leakage Conditions","2024","Applied Sciences (Switzerland)","14","6","2667","","","","5","10.3390/app14062667","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-85192510729&doi=10.3390%2fapp14062667&partnerID=40&md5=dc89b58613cae5bc0b0de55899245522","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85192510729"
"Zhou Y.; Zhang G.; Li Q.; Teng W.; Yang Q.","Zhou, Yuanjie (57221995096); Zhang, Guomin (57221994221); Li, Qingyi (57192196077); Teng, Weiming (59114655500); Yang, Qinmin (8690442500)","57221995096; 57221994221; 57192196077; 59114655500; 8690442500","Distributed Optical Fiber Intrusion Warning Based on Multi-model Fusion","2020","2020 7th International Conference on Information, Cybernetics, and Computational Social Systems, ICCSS 2020","","","9336888","843","848","5","4","10.1109/ICCSS52145.2020.9336888","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-85100906462&doi=10.1109%2fICCSS52145.2020.9336888&partnerID=40&md5=0482bb5cb6bbd434c5a89c7cb23299db","Conference paper","Final","","Scopus","2-s2.0-85100906462"
"Zhang L.; Xu C.; Guoming C.; Shi H.; Han G.; Zhou N.; Ai S.","Zhang, Lizhen (57190290174); Xu, Changhang (24922333000); Guoming, Chen (57221151437); Shi, Huandi (56016894200); Han, Guoxing (57190274155); Zhou, Naiwang (57190281633); Ai, Suping (57188639149)","57190290174; 24922333000; 57221151437; 56016894200; 57190274155; 57190281633; 57188639149","The detection of high-temperature pipe leakage by infrared thermography","2014","2nd CCPS China Conference on Process Safety 2014","","","","184","190","6","0","","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-84978832842&partnerID=40&md5=6d0d51ef1631989c13e0b206b6b89af5","Conference paper","Final","","Scopus","2-s2.0-84978832842"
"Régis Oliveira H.; De Paula H.X.","Régis Oliveira, Hudson (56050472200); De Paula, Henrique Xavier (56050772500)","56050472200; 56050772500","EMERGENCY due to rain event on OSPAR pipeline right-of-way: Lessons learnt from the rapid approach in march, 2011","2013","ASME 2013 International Pipeline Geotechnical Conference, IPG 2013","","","","","","","0","10.1115/IPG2013-1939","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-84894675304&doi=10.1115%2fIPG2013-1939&partnerID=40&md5=b1a60ac032aa40101842ab38378277e6","Conference paper","Final","","Scopus","2-s2.0-84894675304"
"Zhu C.; Pu Y.; Yang K.; Yang Q.; Chen C.L.P.","Zhu, Chengyuan (57981161700); Pu, Yanyun (57981656600); Yang, Kaixiang (57203589539); Yang, Qinmin (8690442500); Chen, C. L. Philip (47861886300)","57981161700; 57981656600; 57203589539; 8690442500; 47861886300","Distributed Optical Fiber Intrusion Detection by Image Encoding and SwinT in Multi-Interference Environment of Long-Distance Pipeline","2023","IEEE Transactions on Instrumentation and Measurement","72","","2515012","","","","41","10.1109/TIM.2023.3277937","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-85161006001&doi=10.1109%2fTIM.2023.3277937&partnerID=40&md5=4a989143947366a7256ddab78144d9f3","Article","Final","","Scopus","2-s2.0-85161006001"
"Pan J.; Xiao F.; Hou W.; Zou Z.; Li Y.","Pan, Jianjun (55272179600); Xiao, Fan (57933325500); Hou, Wei (57678841700); Zou, Zisong (57933349300); Li, Yahong (58970510800)","55272179600; 57933325500; 57678841700; 57933349300; 58970510800","Design and application of pressure sensor based on fiber Bragg grating","2024","Optical Engineering","63","3","037107","","","","2","10.1117/1.OE.63.3.037107","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-85189432623&doi=10.1117%2f1.OE.63.3.037107&partnerID=40&md5=6087d3f31f2f54f459cb3678c67d12b4","Article","Final","","Scopus","2-s2.0-85189432623"
"Wiacek J.","Wiacek, Jaron (55996047900)","55996047900","America's pipelines: Safety and security issues","2013","America's Pipelines: Safety and Security Issues","","","","1","116","115","0","","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-84892022837&partnerID=40&md5=8bbd0b49f99180e623b9901c4cfd6d03","Book","Final","","Scopus","2-s2.0-84892022837"
"Dada T.L.; de Andrade Neves D.; Neto J.D.G.; Russo W.C., Jr.; Leite R.A.; da Costa Santos T.; Spagnolo R.A.","Dada, Thais Lucouvicz (57416754100); de Andrade Neves, Douglas (59495324000); Neto, João Duarte Guimarães (57201418665); Russo, Wanderley Camargo (56050128900); Leite, Roberta Amorim (59495423000); da Costa Santos, Thiago (57201428565); Spagnolo, Rodrigo Alves (55029335400)","57416754100; 59495324000; 57201418665; 56050128900; 59495423000; 57201428565; 55029335400","METHODOLOGIES FOR CONSERVATION AND MAINTENANCE OF ANCHORED RETAINING WALLS","2024","Proceedings of the Biennial International Pipeline Conference, IPC","4","","V004T06A026","","","","0","10.1115/IPC2024-134032","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-85213712344&doi=10.1115%2fIPC2024-134032&partnerID=40&md5=085b1faa9d7e1957dc0fe26554224907","Conference paper","Final","","Scopus","2-s2.0-85213712344"
"Talarico L.; Sörensen K.; Reniers G.; Springael J.","Talarico, Luca (56340373400); Sörensen, Kenneth (7202406244); Reniers, Genserik (8634628000); Springael, Johan (6603823123)","56340373400; 7202406244; 8634628000; 6603823123","Pipeline security","2015","Securing Transportation Systems","","","","281","311","30","4","","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-85216937736&partnerID=40&md5=74acb806168bdf7acfe46f91dcaea7ce","Book chapter","Final","","Scopus","2-s2.0-85216937736"
"Harman K.; Singh S.","Harman, Keith (7005250045); Singh, Shailesh (57199224127)","7005250045; 57199224127","A novel long-range perimeter security sensor based on hybrid michelson and Mach-Zehnder interferometers","2016","Proceedings - International Carnahan Conference on Security Technology","0","","7815725","","","","8","10.1109/CCST.2016.7815725","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-85011695794&doi=10.1109%2fCCST.2016.7815725&partnerID=40&md5=8ef886506ec4d344e66fc94562b6e715","Conference paper","Final","","Scopus","2-s2.0-85011695794"
"Zhang J.; Liang Z.; Xia C.","Zhang, Jie (56123157200); Liang, Zheng (55684826200); Xia, Chengyu (39262848800)","56123157200; 55684826200; 39262848800","2082. Stress-strain response analysis and protective device design for buried pipeline impacted by perilous rock","2016","Journal of Vibroengineering","18","5","","2744","2753","9","0","10.21595/jve.2016.16626","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-85055748495&doi=10.21595%2fjve.2016.16626&partnerID=40&md5=c98e5009c950989ce18daa8146a113c1","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85055748495"
"Portela A.; De França B.B.N.","Portela, André (58655935900); De França, Breno Bernard Nicolau (56671395200)","58655935900; 56671395200","Empirical evidence on technical challenges when adopting continuous practices","2023","ACM International Conference Proceeding Series","","","","11","20","9","1","10.1145/3613372.3613390","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-85174504472&doi=10.1145%2f3613372.3613390&partnerID=40&md5=26fbf77abf2394f352f5fdf2e246417c","Conference paper","Final","","Scopus","2-s2.0-85174504472"
"Shangguan F.; Huang K.; Wu S.; Ma J.; Mi R.","Shangguan, Fangyuan (57195259321); Huang, Kun (54782691000); Wu, Shijuan (55924817700); Ma, Jianlin (58431127400); Mi, Ruixue (57195265617)","57195259321; 54782691000; 55924817700; 58431127400; 57195265617","Stress analysis of Lantsang crossing gas pipeline under rock falling situation","2017","Yingyong Lixue Xuebao/Chinese Journal of Applied Mechanics","34","3","","483","488","5","1","10.11776/cjam.34.03.B087","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-85026640601&doi=10.11776%2fcjam.34.03.B087&partnerID=40&md5=0893fa9ebe4060f267f6d591df3cc3dc","Article","Final","","Scopus","2-s2.0-85026640601"
"Tricca P.","Tricca, Philip (35114082800)","35114082800","A pipeline development toolkit in support of secure information flow goals","2009","ACM International Conference Proceeding Series","","","66","","","","0","10.1145/1558607.1558683","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-70350689728&doi=10.1145%2f1558607.1558683&partnerID=40&md5=1fc69845eb672c6a4be0d8cdc5478997","Conference paper","Final","","Scopus","2-s2.0-70350689728"
"Cooper A.","Cooper, Angus (12807463300)","12807463300","SCADA an important tool: Tightening up on pipelin security","2006","Pipeline and Gas Journal","233","2","","28","29","1","0","","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-33645777624&partnerID=40&md5=bcd7e04be2d44e0756d205ff9f8e3b16","Article","Final","","Scopus","2-s2.0-33645777624"
"Jellema J.; Tchistiakov A.","Jellema, Jan (6507970076); Tchistiakov, Alexei (36900895200)","6507970076; 36900895200","Implementation of ISO-14000 standards in routine environmental management of oil and gas fields by means of GIS and remote sensing","2002","Journal of Canadian Petroleum Technology","41","9","","11","15","4","1","10.2118/02-09-ge2","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-0036708790&doi=10.2118%2f02-09-ge2&partnerID=40&md5=f8170f2decb77b71053ba6f1d01665f1","Article","Final","","Scopus","2-s2.0-0036708790"
"","","","Projects: Siemens to provide secutiry/communications for Pacific Texas Pipeline","2006","Pipeline and Gas Journal","233","2","","12","","","0","","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-85117625133&partnerID=40&md5=662a998c68dd5847e4b5df55eebec06b","Note","Final","","Scopus","2-s2.0-85117625133"
"Sariibrahimoglu L.","Sariibrahimoglu, Lale (8671152200)","8671152200","Azerbaijan, Georgia, Turkey to co-operate on pipeline security","2005","Jane's Defence Weekly","","JUNE","","","","2","0","","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-84860979671&partnerID=40&md5=fd6d7a00fbcd04b11025f58c8e9397b2","Short survey","Final","","Scopus","2-s2.0-84860979671"
"Zhang P.; Duan Y.","Zhang, Peng (55547109720); Duan, Yonghong (49663275500)","55547109720; 49663275500","Study on failure probability model of lanchengyu pipeline under landslide geological disaster","2012","Information (Japan)","15","12 B","","5683","5692","9","2","","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-84871548435&partnerID=40&md5=84aa9f004f3e38d8438ad9745239f2db","Article","Final","","Scopus","2-s2.0-84871548435"
"Stoor R.; Martin L.-G.","Stoor, Ralf (16032282300); Martin, Lars-Gustaf (16031576600)","16032282300; 16031576600","Market forces drive pipeline construction","2007","Diesel and Gas Turbine Worldwide","39","1-2","","18","20","2","0","","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-33847734369&partnerID=40&md5=3731bf99d046a3e62a646c510fa8f46e","Article","Final","","Scopus","2-s2.0-33847734369"
"Schreier G.; Hausamann D.; Lingenfelder I.; Benz U.; Zirnig W.","Schreier, G. (7005882217); Hausamann, D. (7801380501); Lingenfelder, I. (6507597034); Benz, U. (7004350779); Zirnig, W. (6506471755)","7005882217; 7801380501; 6507597034; 7004350779; 6506471755","Test cases and prospects of pipeline management using space borne earth observation","2005","Proceedings, 31st International Symposium on Remote Sensing of Environment, ISRSE 2005: Global Monitoring for Sustainability and Security","","","","","","2","1","","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-84879703638&partnerID=40&md5=926c0648eaf3d935798588cd1ef9339c","Conference paper","Final","","Scopus","2-s2.0-84879703638"
"","","","New products: Pipeline security using fibre technology","2003","Pipes and Pipelines International","48","6","","PR15","","","0","","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-4043153018&partnerID=40&md5=dfd8056b242b9b9dbb52e598ea8c29d4","Note","Final","","Scopus","2-s2.0-4043153018"
"","","","Security trends in high-risk countries: Colombia","2007","Petroleum Economist","74","9","","","","2","0","","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-85117625936&partnerID=40&md5=fe62c7e43f38cb82d9361a4c3097a4d8","Note","Final","","Scopus","2-s2.0-85117625936"
"Rosner K.","Rosner, Kevin (6701730580)","6701730580","Pipelines: Security: Security in insecure times","2003","Petroleum Economist","70","2","","21","","","0","","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-10044281658&partnerID=40&md5=aeee7f96b3ff29b7b438a5c70849e810","Note","Final","","Scopus","2-s2.0-10044281658"
"Bance N.","Bance, Nigel (25931475900)","25931475900","Africa: Kidnap & ransom: Terror in the Maghreb","2009","Petroleum Review","63","755","","26","27+46","","0","","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-73649137892&partnerID=40&md5=e819e0bcd79256f605f231c1f773706e","Article","Final","","Scopus","2-s2.0-73649137892"
"Bull D.E.","Bull, David E. (36052321900)","36052321900","Pipeline regulatory update","2010","Proceedings of the 22nd Pipeline Pigging and Integrity Management Conference","","","","","","4","0","","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-79955719257&partnerID=40&md5=a43e72be846087ee24a4e00925f3e8ad","Conference paper","Final","","Scopus","2-s2.0-79955719257"
"Smith C.E.","Smith, Christopher E. (8878868600)","8878868600","Seeking pipeline security","2007","Oil and Gas Journal","105","7","","15","","","0","","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-33847730559&partnerID=40&md5=3aa608bae6de41380875cd12b33c90a5","Editorial","Final","","Scopus","2-s2.0-33847730559"
"Lin P.; You X.","Lin, Pengzhen (15840035300); You, Xin (54783852900)","15840035300; 54783852900","Security analysis for buried pipeline under unsupported state","2011","ICPTT 2011: Sustainable Solutions for Water, Sewer, Gas, and Oil Pipelines - Proceedings of the International Conference on Pipelines and Trenchless Technology 2011","","","","54","62","8","0","10.1061/41202(423)7","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-83655198175&doi=10.1061%2f41202%28423%297&partnerID=40&md5=503043af8e5d9f7b5fb655d1b6b70019","Conference paper","Final","","Scopus","2-s2.0-83655198175"
"Wang F.; Wang G.","Wang, Fei (56352459100); Wang, Guowei (55738682900)","56352459100; 55738682900","Optimization analysis for preheating temperature and pipe wall thickness of large-diameter directly buried heating pipes","2009","Proc. International Conference on Pipelines and Trenchless Technology 2009, ICPTT 2009: Advances and Experiences with Pipelines and Trenchless Technology for Water, Sewer, Gas, and Oil Applications","361","","","1467","1478","11","0","10.1061/41073(361)154","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-72149113085&doi=10.1061%2f41073%28361%29154&partnerID=40&md5=c0ad860d4899b57e7f1e06719ab4238e","Conference paper","Final","","Scopus","2-s2.0-72149113085"
"Chen P.; Cai Y.; Meng J.; Li J.; Jin S.","Chen, Pengchao (58611542400); Cai, Yongjun (59825077700); Meng, Jia (55231645300); Li, Jun (57201409832); Jin, Shijiu (7401822907)","58611542400; 59825077700; 55231645300; 57201409832; 7401822907","Phrase-sensitive Mach-Zehnder interferometer pipeline security &pre-warning system","2009","Rio Pipeline Conference and Exposition, Technical Papers","2009-September","","","","","","0","","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-85044654115&partnerID=40&md5=2097a4409509a28678a371ef3130ae37","Conference paper","Final","","Scopus","2-s2.0-85044654115"
"Sun J.; Wen J.; Jin S.","Sun, Jiedi (9232803200); Wen, Jiangtao (57204699056); Jin, Shijiu (7401822907)","9232803200; 57204699056; 7401822907","Study on target localization method for pipeline monitoring system based on HHT","2008","Yi Qi Yi Biao Xue Bao/Chinese Journal of Scientific Instrument","29","12","","2492","2496","4","4","","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-58249083263&partnerID=40&md5=4c03bf0d368c555b96a5f5ddea90d4e9","Article","Final","","Scopus","2-s2.0-58249083263"
"","","","News: Palcan UPS and stack for Chinese oil pipeline trial","2004","Fuel Cells Bulletin","","12","","5","","","0","","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-11144296775&partnerID=40&md5=be3525a396af2ae0119c20d28b0ab7b4","Note","Final","","Scopus","2-s2.0-11144296775"
"Parfomak P.W.","Parfomak, Paul W. (6508081953)","6508081953","Pipeline safety and security: Federal programs","2011","Pipeline Safety and Security","","","","1","21","20","0","","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-84946923552&partnerID=40&md5=b7d28ed66288491ec40afa3ae5e928d7","Book chapter","Final","","Scopus","2-s2.0-84946923552"
"Kacem Y.H.; Ezzeddine T.H.; Pluvinage G.","Kacem, Yassine Haj (57208112269); Ezzeddine, Taieb Haj (57208113232); Pluvinage, Guy (7005217120)","57208112269; 57208113232; 7005217120","Importance of oil pipeline security for minimising pipeline damage","2010","Structural Integrity and Life","10","2","","95","101","6","0","","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-85063853943&partnerID=40&md5=906d7204fda8075baaf141abce4b8759","Conference paper","Final","","Scopus","2-s2.0-85063853943"
"","","","Philippines: US and Philippines plan to deal with maritime pipeline security","2007","Global Pipeline Monthly","3","3","","","","1","0","","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-34047215821&partnerID=40&md5=fd34ab5e36d2efe721da12ed46eb0461","Note","Final","","Scopus","2-s2.0-34047215821"
"Sun J.-D.; Wen J.-T.; Jin S.-J.","Sun, Jie-Di (9232803200); Wen, Jiang-Tao (57204699056); Jin, Shi-Jiu (7401822907)","9232803200; 57204699056; 7401822907","Data fusion research based on D-S evidence theory in the pipeline secure monitor","2007","Chinese Journal of Sensors and Actuators","20","2","","404","407","3","1","","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-34548162884&partnerID=40&md5=f3049e34eb84b18a0a422d141699ef57","Article","Final","","Scopus","2-s2.0-34548162884"
"","","","Government: Congress forces DHS to look more closely at pipeline security","2007","Pipeline and Gas Journal","234","10","","","","","0","","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-44649132657&partnerID=40&md5=39c1279dd4c02275eaf9fdb96dda4ece","Note","Final","","Scopus","2-s2.0-44649132657"
"Reniers G.; Dullaert W.","Reniers, Genserik (8634628000); Dullaert, Wout (57217741313)","8634628000; 57217741313","TePiTri: A screening method for assessing terrorist-related pipeline transport risks","2012","Security Journal","25","2","","173","186","13","9","10.1057/sj.2011.17","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-84859887622&doi=10.1057%2fsj.2011.17&partnerID=40&md5=e45a2625c32a394db3914b1139390d64","Article","Final","","Scopus","2-s2.0-84859887622"
"Parfomak P.W.","Parfomak, Paul W. (6508081953)","6508081953","Security of Hazmat Transports by Pipeline","2012","Security Aspects of Uni- and Multimodal Hazmat Transportation Systems","","","","91","113","22","0","10.1002/9783527664818.ch7","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-84886195600&doi=10.1002%2f9783527664818.ch7&partnerID=40&md5=2cc738162b0e4134895b8426143f46ca","Book chapter","Final","","Scopus","2-s2.0-84886195600"
"Gu Y.; Zheng H.; Yang Y.; Zhou L.; Zhang H.; Li Y.","Gu, Yulei (55826188300); Zheng, Honglong (54783846100); Yang, Yufeng (36544603200); Zhou, Lijian (55820362000); Zhang, Huabing (54783933700); Li, Yi (57192526740)","55826188300; 54783846100; 36544603200; 55820362000; 54783933700; 57192526740","Study on pipeline integrity management performance evaluation techniques and its application in china pipeline companies","2012","Proceedings of the Biennial International Pipeline Conference, IPC","2","","","363","368","5","0","10.1115/IPC2012-90179","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-84882378799&doi=10.1115%2fIPC2012-90179&partnerID=40&md5=411f05c2a0a4d72bfa662a62f94f581b","Conference paper","Final","","Scopus","2-s2.0-84882378799"
"","","","Proceedings of the ASCE International Conference on Pipeline Engineering and Construction Volume One","2003","New Pipeline Technologies, Security, and Safety","1","","","","","945","0","","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-0345329307&partnerID=40&md5=29cf72f0059aeb0c1d3cba3fd0e5e566","Conference review","Final","","Scopus","2-s2.0-0345329307"
"Wan J.; Yu Y.; Wu Y.; Feng R.; Yu N.","Wan, Jiangwen (7202353312); Yu, Yang (56430081600); Wu, Yinfeng (15758723500); Feng, Renjian (15756987400); Yu, Ning (35489801100)","7202353312; 56430081600; 15758723500; 15756987400; 35489801100","Hierarchical leak detection and localization method in natural gas pipeline monitoring sensor networks","2012","Sensors","12","1","","189","214","25","106","10.3390/s120100189","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-84863067610&doi=10.3390%2fs120100189&partnerID=40&md5=d65bdf8bd11139f637fa5bc28cede678","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-84863067610"
"Liu B.; Zhang P.","Liu, Bin (57196892466); Zhang, Peng (55547109720)","57196892466; 55547109720","Research on the pipeline security protection technology of pipeline integrity based on Gis","2011","Proceedings - 2011 4th International Symposium on Knowledge Acquisition and Modeling, KAM 2011","","","6137679","454","457","3","2","10.1109/KAM.2011.124","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-84863177666&doi=10.1109%2fKAM.2011.124&partnerID=40&md5=ef69fe985747270e9da678b0f25cdcee","Conference paper","Final","","Scopus","2-s2.0-84863177666"
"Nicholson P.","Nicholson, Paul (36864376900)","36864376900","A risky business","2010","Hydrocarbon Engineering","","SUPPL. AUTUMN","","54","58","4","0","","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-79251507305&partnerID=40&md5=64c8bc8a78960209ef41d29db6d5737c","Article","Final","","Scopus","2-s2.0-79251507305"
"An J.; Wu J.; Pu G.; Qu C.; Huang C.; Pang C.; Liu H.","An, Jian (36603940500); Wu, Jiande (16178785400); Pu, Guangyue (36605174900); Qu, Chengzhong (58709615700); Huang, Chaobing (36773091200); Pang, Chunlei (36773518900); Liu, Hongwei (56486195100)","36603940500; 16178785400; 36605174900; 58709615700; 36773091200; 36773518900; 56486195100","A kind of pressure detection method in long distance ore slurry pipeline","2010","2010 3rd International Symposium on Knowledge Acquisition and Modeling, KAM 2010","","","5646211","196","198","2","7","10.1109/KAM.2010.5646211","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-78650660728&doi=10.1109%2fKAM.2010.5646211&partnerID=40&md5=bd16fe76a8a0eddc1b6c8c43aab2741c","Conference paper","Final","","Scopus","2-s2.0-78650660728"
"Wu J.; Wang H.; Fan Y.; Wang X.","Wu, Jiande (16178785400); Wang, Hua (7501735520); Fan, Yugang (36103966800); Wang, Xiaodong (56497644300)","16178785400; 7501735520; 36103966800; 56497644300","Intelligent plant design of complex landform long distance pipeline transport of iron concentrate","2011","Applied Mechanics and Materials","48-49","","","632","636","4","1","10.4028/www.scientific.net/AMM.48-49.632","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-79951644828&doi=10.4028%2fwww.scientific.net%2fAMM.48-49.632&partnerID=40&md5=0e6bd4372b2d0b12a5303fd04e489607","Conference paper","Final","","Scopus","2-s2.0-79951644828"
"Zhang P.; Huang Y.; Duan Y.","Zhang, Peng (55547109720); Huang, Yun (50661258600); Duan, Yonghong (49663275500)","55547109720; 50661258600; 49663275500","Assessment model for failure probability of LanChengYu product oil pipeline under landslide geological disaster","2011","ICQR2MSE 2011 - Proceedings of 2011 International Conference on Quality, Reliability, Risk, Maintenance, and Safety Engineering","","","5976575","87","91","4","0","10.1109/ICQR2MSE.2011.5976575","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-80052366622&doi=10.1109%2fICQR2MSE.2011.5976575&partnerID=40&md5=889f1132cf36233b17012d64e470a403","Conference paper","Final","","Scopus","2-s2.0-80052366622"
"Fox J.","Fox, Jack (35995202800)","35995202800","Terrorist focus on energy","2009","GPA Annual Convention Proceedings","1","","","86","111","25","0","","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-77951660529&partnerID=40&md5=d18510e0fae1a9ea15641ab2033c99d6","Conference paper","Final","","Scopus","2-s2.0-77951660529"
"","","","Pipeline security: TSA has taken actions to help strengthen security, but could improve priority-setting and assessment processes","2011","Pipeline Safety and Security","","","","23","70","47","0","","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-85025697644&partnerID=40&md5=888fc3833e19c8d849a75fda7f55671f","Book chapter","Final","","Scopus","2-s2.0-85025697644"
"","","","Actions needed to enhance pipeline security","2011","Pipeline Safety and Security","","","","117","137","20","0","","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-85047948776&partnerID=40&md5=b335cac6ebca0be1060f3d8cc6d7e9f6","Book chapter","Final","","Scopus","2-s2.0-85047948776"
"Li J.; Chen P.; Cai Y.; Tan D.; Zhou H.","Li, Jun (57201409832); Chen, Pengchao (58611542400); Cai, Yongjun (59613868900); Tan, Dongjie (35111859800); Zhou, Hengzhang (35112083500)","57201409832; 58611542400; 59613868900; 35111859800; 35112083500","A quasi-distrubuted optical speckle sensor and its application in pipeline security","2009","Proceedings of the Biennial International Pipeline Conference, IPC","1","","","575","578","3","1","10.1115/IPC2008-64189","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-70350006941&doi=10.1115%2fIPC2008-64189&partnerID=40&md5=49bbf2f02dedbcfa7037bbba95ee30d9","Conference paper","Final","","Scopus","2-s2.0-70350006941"
"Fowler F.J.","Fowler, Fred J. (7006539678)","7006539678","Same questions pose challenges, Duke chief says","2002","Pipeline and Gas Journal","229","12","","14","16","2","0","","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-0036970742&partnerID=40&md5=bf503d8e19cbc509548c27c903f9ddcf","Review","Final","","Scopus","2-s2.0-0036970742"
"Cooper B.S.","Cooper, Benjamin S. (7401623410)","7401623410","Expo showcases strong pipeline security","2003","Pipeline and Gas Journal","230","7","","12","","","0","","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-0042329569&partnerID=40&md5=1e17b58224bed52ceb9deb6860f9d2f6","Review","Final","","Scopus","2-s2.0-0042329569"
